pid,gtin,gln,targetMarketCountryCode,isDeleted,last_modified_date
12669,00020662002143,0020662000019,CA,0         ,2014-02-28 16:55:58.9500000
12670,00020662002150,0020662000019,CA,0         ,2014-02-28 16:55:59.0130000
12673,00020662002167,0020662000019,CA,0         ,2014-02-28 16:55:59.2000000
12674,00020662003041,0020662000019,CA,0         ,2014-02-28 16:55:59.2500000
12677,00020662003058,0020662000019,CA,0         ,2014-02-28 16:55:59.4270000
12678,00020662003065,0020662000019,CA,0         ,2014-02-28 16:55:59.4870000
12681,00020662003072,0020662000019,CA,0         ,2014-02-28 16:55:59.6530000
12682,00020662003119,0020662000019,CA,0         ,2014-02-28 16:55:59.7100000
12703,00020662003126,0020662000019,CA,0         ,2014-02-28 16:56:00.8870000
12704,00020662003133,0020662000019,CA,0         ,2014-02-28 16:56:00.9470000
12671,00020662003140,0020662000019,CA,0         ,2014-02-28 16:55:59.0770000
12672,00020662003157,0020662000019,CA,0         ,2014-02-28 16:55:59.1370000
12675,00020662003164,0020662000019,CA,0         ,2014-02-28 16:55:59.3130000
12676,00020662003195,0020662000019,CA,0         ,2014-02-28 16:55:59.3670000
12679,00020662003201,0020662000019,CA,0         ,2014-02-28 16:55:59.5470000
12680,00020662003249,0020662000019,CA,0         ,2014-02-28 16:55:59.5970000
12683,00020662004413,0020662000019,CA,0         ,2014-02-28 16:55:59.7630000
12684,00020662004420,0020662000019,CA,0         ,2014-02-28 16:55:59.8200000
12685,00020662004451,0020662000019,CA,0         ,2014-02-28 16:55:59.8770000
12686,00020662004468,0020662000019,CA,0         ,2014-02-28 16:55:59.9370000
12687,00020662004475,0020662000019,CA,0         ,2014-02-28 16:55:59.9970000
12688,00020662004505,0020662000019,CA,0         ,2014-02-28 16:56:00.0570000
12689,00020662004529,0020662000019,CA,0         ,2014-02-28 16:56:00.1000000
12690,00020662004536,0020662000019,CA,0         ,2014-02-28 16:56:00.1400000
12691,00020662004550,0020662000019,CA,0         ,2014-02-28 16:56:00.1970000
12692,00020662004567,0020662000019,CA,0         ,2014-02-28 16:56:00.2570000
12693,00020662004574,0020662000019,CA,0         ,2014-02-28 16:56:00.3130000
12694,00020662004581,0020662000019,CA,0         ,2014-02-28 16:56:00.3700000
12695,00020662004833,0020662000019,CA,0         ,2014-02-28 16:56:00.4370000
12696,00020662004840,0020662000019,CA,0         ,2014-02-28 16:56:00.5000000
12697,00020662004857,0020662000019,CA,0         ,2014-02-28 16:56:00.5530000
